c1,c2,c3,i1,i2,i3,i4,o
0.9020791813004244,3.048586522626875e-10,4.944748172755191e-10,0.09792081722217778,1.0656847850264968e-13,1.591173796298119e-13,1.8736014032137855e-13,6.77611141622266e-10
0.9020791814534914,3.048555732391686e-10,4.943528709988443e-10,0.09792081707411072,1.0656841922816254e-13,1.5911702397382833e-13,1.8735439697578905e-13,6.727362213046752e-10
0.9020791817372417,3.048466885464303e-10,4.941178667524651e-10,0.09792081679536033,1.0656828712638323e-13,1.591160734879398e-13,1.8734319380810496e-13,6.679804254519823e-10
0.9020791821350235,3.048295910221359e-10,4.937780434099188e-10,0.09792081640257802,1.065680607168817e-13,1.591143156243254e-13,1.8732679372728715e-13,6.633378351873322e-10
0.9020791826367714,3.048021649433268e-10,4.933410493844752e-10,0.09792081590582913,1.0656771009334957e-13,1.5911155905669107e-13,1.8730543741116859e-13,6.588033093416426e-10
0.902079183236858,3.04762559987283e-10,4.928139728249152e-10,0.09792081531074105,1.0656719875058946e-13,1.591076323901575e-13,1.872793456859141e-13,6.543714767748734e-10
0.9020791839322677,3.0470916770979605e-10,4.922033993025439e-10,0.09792081462032892,1.0656648517819091e-13,1.5910238296683915e-13,1.8724872291090688e-13,6.500379195145502e-10
0.902079184721497,3.04640599641316e-10,4.915154381326468e-10,0.0979208138360961,1.0656552410029201e-13,1.5909567547033069e-13,1.8721375842640089e-13,6.457980545241503e-10
0.9020791856039302,3.045556672291299e-10,4.907557602391504e-10,0.09792081295865791,1.0656426745491088e-13,1.590873904730429e-13,1.871746282049297e-13,6.416476677384723e-10
0.9020791865794844,3.0445336334455405e-10,4.899296277742479e-10,0.09792081198809705,1.065626651914087e-13,1.590774230044641e-13,1.8713149596185744e-13,6.375826779226979e-10
0.902079187648401,3.0433284550982784e-10,4.890419323466783e-10,0.09792081092417183,1.0656066593608838e-13,1.59065681213486e-13,1.8708451458487433e-13,6.335995566093759e-10
0.9020791888111191,3.041934203617474e-10,4.880972168676634e-10,0.09792080976644275,1.0655821755535901e-13,1.590520851118905e-13,1.870338267867418e-13,6.296947642345502e-10
0.9020791900681964,3.040345291920295e-10,4.870996930445377e-10,0.09792080851435207,1.0655526763492847e-13,1.590365653998075e-13,1.869795655446586e-13,6.258646338752324e-10
0.9020791914202566,3.0385573523880647e-10,4.86053287337479e-10,0.09792080716727537,1.0655176389021407e-13,1.5901906244152506e-13,1.8692185585161566e-13,6.221065572468047e-10
0.9020791928679565,3.036567112739231e-10,4.849616320776552e-10,0.0979208057245558,1.0654765451504459e-13,1.589995252638034e-13,1.8686081397353831e-13,6.184168947799013e-10
0.9020791944119618,3.0343722892422603e-10,4.838281140565143e-10,0.09792080418552714,1.0654288847898622e-13,1.589779107079042e-13,1.8679654934116851e-13,6.1479326755642e-10
0.9020791960529324,3.0319714854081284e-10,4.826558789241261e-10,0.0979208025495294,1.0653741577840066e-13,1.5895418262889454e-13,1.8672916445125767e-13,6.112328962535988e-10
0.9020791977915108,3.029364099949318e-10,4.814478514823287e-10,0.09792080081591949,1.0653118764698544e-13,1.589283111763053e-13,1.8665875550302968e-13,6.077332548850388e-10
0.9020791996283158,3.026550242562875e-10,4.802067517638427e-10,0.09792079898407831,1.06524156730553e-13,1.5890027214289122e-13,1.8658541286117772e-13,6.042919509553934e-10
0.9020792015639377,3.023530657598835e-10,4.789351126228765e-10,0.0979207970534154,1.0651627723046186e-13,1.5887004638171297e-13,1.8650922160594255e-13,6.009068254846188e-10
0.9020792035989349,3.020306652229335e-10,4.776352851910756e-10,0.09792079502337186,1.0650750501866678e-13,1.5883761926062878e-13,1.8643026154284593e-13,5.975755097235709e-10
0.9020792057338328,3.0168800329286535e-10,4.763094601629955e-10,0.09792079289342198,1.0649779772845634e-13,1.5880298018820816e-13,1.8634860794949953e-13,5.942960755353444e-10
0.9020792079691229,3.0132530474786243e-10,4.749596793904068e-10,0.09792079066307403,1.0648711482377817e-13,1.587661221856973e-13,1.8626433190012625e-13,5.910666958099888e-10
0.9020792103052624,3.0094283293232424e-10,4.73587835785723e-10,0.09792078833187036,1.0647541764881134e-13,1.5872704147609923e-13,1.861775000647452e-13,5.878852054046306e-10
0.902079212742675,3.005408851007508e-10,4.721957002968649e-10,0.09792078589938703,1.0646266946164707e-13,1.5868573715090978e-13,1.8608817575853674e-13,5.84750188490985e-10
0.9020792152817512,3.0011978789972265e-10,4.707849198279424e-10,0.09792078336523324,1.0644883545313588e-13,1.5864221084496067e-13,1.859964186828013e-13,5.816598744482891e-10
0.9020792179228492,2.996798932592064e-10,4.693570261325183e-10,0.09792078072905036,1.0643388275282515e-13,1.5859646644366294e-13,1.85902285171123e-13,5.786125767533986e-10
0.9020792206662962,2.9922157479652785e-10,4.679134494661247e-10,0.09792077799051095,1.0641778042417505e-13,1.5854850983193516e-13,1.8580582866669118e-13,5.756069046130566e-10
0.9020792235123893,2.9874522461842593e-10,4.664555285293059e-10,0.09792077514931764,1.0640049945075551e-13,1.5849834867452058e-13,1.8570710004559146e-13,5.726416448931966e-10
