c1,c2,c3,i1,i2,i3,i4,o
0.9020791813004244,3.048586522626875e-10,4.944748172755191e-10,0.09792081722217778,1.0656847850264968e-13,1.591173796298119e-13,1.8736014032137855e-13,6.77611141622266e-10
0.9020791819313543,3.048555672946887e-10,4.943528714502437e-10,0.09792081659624793,1.0656826243575016e-13,1.5911677626633783e-13,1.8735406171446347e-13,6.727362203464085e-10
0.9020791831819513,3.0484667075281955e-10,4.941178652193701e-10,0.09792081535065074,1.0656781328819064e-13,1.591153250136554e-13,1.8734218714981888e-13,6.679803143375783e-10
0.9020791850370511,3.048295557024999e-10,4.937780401834462e-10,0.09792081350055051,1.0656710930611128e-13,1.5911281328357776e-13,1.8732478546843888e-13,6.633377238727741e-10
0.9020791874815987,3.0480210671613946e-10,4.933410445710552e-10,0.097920811061002,1.0656612246738785e-13,1.5910905333134728e-13,1.873021073175032e-13,6.588031967991455e-10
0.9020791905013179,3.0476247386489236e-10,4.928139690670776e-10,0.09792080804628125,1.0656481938933892e-13,1.591038794658831e-13,1.8727438573874883e-13,6.543714702631314e-10
0.9020791940827648,3.0470904902829417e-10,4.92203396181213e-10,0.09792080446983195,1.0656316230927004e-13,1.5909714582711016e-13,1.8724183784202862e-13,6.500379072005003e-10
0.9020791982133145,3.0464044398550197e-10,4.91515432394377e-10,0.09792080034427876,1.065611099699956e-13,1.5908872439206565e-13,1.8720466577272224e-13,6.457979273823351e-10
0.9020792028811334,3.0455547056344603e-10,4.907557541309233e-10,0.0979207956814549,1.0655861840567804e-13,1.5907850320189807e-13,1.8716305834960104e-13,6.416476441484701e-10
0.9020792080751423,3.0445312198806626e-10,4.899296232325846e-10,0.09792079049243944,1.065556416355982e-13,1.5906638472576624e-13,1.8711719134542277e-13,6.375827543864656e-10
0.9020792137849711,3.0433255604255444e-10,4.890419283178447e-10,0.09792078478760206,1.0655213227567406e-13,1.5905228441043154e-13,1.870672289724943e-13,6.335996215390986e-10
0.9020792200009105,3.0419307953946076e-10,4.880972095308009e-10,0.0979207785766519,1.0654804207511972e-13,1.5903612936589672e-13,1.8701332464470723e-13,6.296947088292549e-10
0.902079226713861,3.0403413407434803e-10,4.870996841417149e-10,0.09792077186868794,1.0654332238517951e-13,1.590178571794887e-13,1.8695562180072239e-13,6.258646767188446e-10
0.902079233915284,3.0385528296024624e-10,4.860532702346319e-10,0.09792076467224857,1.0653792456635874e-13,1.5899741484543715e-13,1.8689425466173876e-13,6.221063702917619e-10
0.9020792415971538,3.036561993182554e-10,4.849616113339156e-10,0.09792075699535914,1.0653180034036687e-13,1.5897475780460576e-13,1.868293490528212e-13,6.184169157591594e-10
0.9020792497519131,3.0343665488908023e-10,4.838280856590639e-10,0.09792074884557661,1.0652490209137148e-13,1.5894984905278746e-13,1.867610225402337e-13,6.147931656657625e-10
0.9020792583724317,3.031965102696926e-10,4.826558444558149e-10,0.09792074023003085,1.0651718312344081e-13,1.5892265837879584e-13,1.8668938590894786e-13,6.112328901101864e-10
