0,1,2
soma,0.5,"(0.044435, 11.476551261839916)"
axon,0.1,"(0.04432, 10.7126902876584)"
axon,0.2,"(0.04428, 12.418012670215527)"
axon,0.30000000000000004,"(0.044270000000000004, 11.880270649587354)"
axon,0.4,"(0.044270000000000004, 20.865499098988273)"
axon,0.5,"(0.044275, 19.82568202600354)"
axon,0.6,"(0.044285000000000005, 14.830456474159382)"
axon,0.7000000000000001,"(0.044300000000000006, 12.794987577243173)"
axon,0.8,"(0.044315, 12.112670454261327)"
axon,0.9,"(0.044325, 11.176530308584503)"
axon,0.1,"(0.044335, 12.96930544404834)"
axon,0.2,"(0.044335, 10.909562077109989)"
axon,0.30000000000000004,"(0.044340000000000004, 14.601157774146467)"
axon,0.4,"(0.044340000000000004, 13.04993977624083)"
axon,0.5,"(0.044340000000000004, 11.69155958945979)"
axon,0.6,"(0.044340000000000004, 10.539237658201833)"
axon,0.7000000000000001,"(0.044344999999999996, 15.476790964610688)"
axon,0.8,"(0.044344999999999996, 14.836681818753004)"
axon,0.9,"(0.044344999999999996, 14.405688284542542)"
