c1,c2,c3,i1,i2,i3,i4,o
0.6226932664792223,0.37502356579085877,3.6566115069607267e-06,0.0014205216901423292,0.0008555241210492636,8.341614433701471e-09,7.868169462843979e-09,3.449097436651747e-06
0.6226940229283338,0.3750228402695655,3.6561853830673614e-06,0.0014205043789412045,0.0008555110008726755,8.34053178726066e-09,7.867916405964918e-09,3.449028455647521e-06
0.6226954004971956,0.37502152210866285,3.6554532719873465e-06,0.0014204709207307714,0.0008554859509648095,8.338648796257608e-09,7.867345121178488e-09,3.448863179885307e-06
0.6226972864876424,0.3750197218709244,3.6544993681606057e-06,0.0014204223513940826,0.0008554500025818622,8.33616489863814e-09,7.866426317650733e-09,3.4485854978840827e-06
0.6226995919957152,0.37501752678344913,3.6533801886029424e-06,0.0014203594852811236,0.0008554039676867512,8.333214894040078e-09,7.865151970246892e-09,3.4481893124964024e-06
0.6227022453218523,0.3750150071652202,3.6521344309862135e-06,0.0014202829979406547,0.0008553485124657263,8.329891964376361e-09,7.863527048479457e-09,3.4476746711217527e-06
0.6227051874717465,0.3750122208208801,3.6507892957882888e-06,0.0014201934793578739,0.0008552842055782119,8.326262441249598e-09,7.86156428771618e-09,3.447045314785564e-06
0.6227083692783526,0.3750092158599246,3.6493644068208626e-06,0.0014200914627046858,0.0008552115458450222,8.322374938966729e-09,7.859280820088152e-09,3.4463071106527046e-06
0.6227117494588348,0.375006032606356,3.647874284241492e-06,0.0014199774398850223,0.0008551309786282852,8.318266101008544e-09,7.85669600025463e-09,3.4454670496640955e-06
0.6227152932078441,0.3750027049851133,3.6463299420346184e-06,0.0014198518704250519,0.0008550429062756807,8.313964307012385e-09,7.853830013119813e-09,3.444532605630411e-06
0.6227189711186507,0.3749992615875518,3.644739942003602e-06,0.0014197151869821572,0.0008549476953478037,8.309492118486092e-09,7.850702997192693e-09,3.4435113305846983e-06
0.6227227583219723,0.3749957265230742,3.64311110116346e-06,0.0014195677990628682,0.0008548456819814516,8.304867922212362e-09,7.847334508579191e-09,3.4424106056262632e-06
0.6227266337809145,0.37499212011695715,3.641448973064896e-06,0.001419410095730738,0.0008547371760803376,8.300107051048311e-09,7.843743209394025e-09,3.441237493912435e-06
0.6227305797047408,0.37498845949084464,3.6397581790135435e-06,0.0014192424477005056,0.0008546224647060244,8.295222558015876e-09,7.83994670297792e-09,3.4399986597378538e-06
0.6227345810568892,0.37498475905003953,3.6380426383979475e-06,0.0014190652090299064,0.0008545018148849508,8.290225757199853e-09,7.835961464025132e-09,3.4387003308987e-06
0.6227386251397325,0.3749810308948227,3.6363057305510395e-06,0.0014188787185291703,0.0008543754759670184,8.28512660617393e-09,7.831802828934811e-09,3.437348288606615e-06
0.6227427012428631,0.374977285168844,3.6345504098816612e-06,0.0014186833009613095,0.0008542436816275533,8.279933979858247e-09,7.827485023305204e-09,3.435947875134371e-06
0.6227468003444945,0.374973530354869,3.6327792887628396e-06,0.001418479268080849,0.0008541066515790051,8.274655869469608e-09,7.823021211237126e-09,3.4345040108835437e-06
0.622750914857569,0.37496977352620603,3.6309946981162355e-06,0.001418266919543942,0.0008539645930427011,8.26929952944219e-09,7.81842355641279e-09,3.4330212172180527e-06
0.6227550384136518,0.374966020560664,3.6291987325835735e-06,0.0014180465437137002,0.000853817702020098,8.263871587957866e-09,7.813703288487174e-09,3.4315036429756354e-06
0.6227591656788608,0.37496227632274093,3.6273932847637234e-06,0.0014178184183785908,0.00085366616439515,8.258378131804423e-09,7.808870770618201e-09,3.4299550908284576e-06
0.6227632921970166,0.3749585448188162,3.625580071781525e-06,0.001417582811397601,0.0008535101568935353,8.252824772946395e-09,7.803935565610505e-09,3.428379043892849e-06
0.622767414255959,0.3749548293293673,3.6237606563602956e-06,0.0014173399812829062,0.0008533498479199286,8.24721670191001e-09,7.798906499164668e-09,3.426778691234236e-06
0.6227715287736079,0.3749511325216062,3.621936463911771e-06,0.0014170901777285881,0.0008531853982909138,8.241558731521794e-09,7.79379171941417e-09,3.4251569519809968e-06
0.6227756332008667,0.37494745654541406,3.6201087967062205e-06,0.001416833642092308,0.0008530169618782451,8.235855333470626e-09,7.788598752379034e-09,3.4235164979475736e-06
0.6227797254389057,0.3749438031150188,3.618278845777827e-06,0.001416570607835606,0.0008528446861748319,8.230110669421861e-09,7.783334553218124e-09,3.4218597740119713e-06
0.6227838037687278,0.37494017357849696,3.6164477013007076e-06,0.0014163013009275314,0.000852668712793917,8.224328617923358e-09,7.778005553424853e-09,3.420189018454171e-06
0.6227878667912297,0.37493656897687344,3.6146163614269546e-06,0.0014160259402155814,0.0008524891779103462,8.218512797965153e-09,7.772617704036307e-09,3.4185062790677097e-06
